"","customer_id","age","gender"
"1","C2448",76,"female"
"2","C2449",61,"male"
"3","C2450",58,"female"
"4","C2451",62,"female"
"5","C2452",71,"male"
"6","C2453",56,"male"
"7","C2454",53,"male"
"8","C2455",53,"female"
"9","C2456",70,"female"
"10","C2457",68,"male"
"11","C2458",64,"male"
"12","C2459",62,"female"
"13","C2460",54,"male"
"14","C2461",42,"female"
"15","C2462",34,"female"
"16","C2463",51,"male"
"17","C2464",55,"male"
"18","C2465",40,"female"
"19","C2466",52,"male"
"20","C2467",46,"female"
"21","C2468",64,"male"
"22","C2469",66,"male"
"23","C2470",55,"female"
"24","C2471",62,"male"
"25","C2472",55,"male"
"26","C2473",52,"male"
"27","C2474",65,"male"
"28","C2475",55,"male"
"29","C2476",55,"male"
"30","C2477",46,"male"
"31","C2478",30,"female"
"32","C2479",55,"male"
"33","C2480",52,"male"
"34","C2481",51,"male"
"35","C2482",37,"male"
"36","C2483",61,"male"
"37","C2484",41,"male"
"38","C2485",56,"female"
"39","C2486",42,"female"
"40","C2487",62,"female"
"41","C2488",66,"female"
"42","C2489",73,"female"
"43","C2490",30,"female"
"44","C2491",50,"female"
"45","C2492",52,"female"
"46","C2493",75,"male"
"47","C2494",58,"female"
"48","C2495",61,"male"
"49","C2496",45,"male"
"50","C2497",39,"male"
"51","C2498",59,"female"
"52","C2499",53,"female"
"53","C2500",70,"male"
"54","C2501",55,"male"
"55","C2502",64,"male"
"56","C2503",50,"female"
"57","C2504",69,"male"
"58","C2505",73,"female"
"59","C2506",53,"female"
"60","C2507",49,"male"
"61","C2508",66,"female"
"62","C2509",65,"female"
"63","C2510",34,"male"
"64","C2511",46,"female"
"65","C2512",52,"male"
"66","C2513",61,"female"
"67","C2514",51,"female"
"68","C2515",39,"male"
"69","C2516",73,"male"
"70","C2517",50,"male"
"71","C2518",71,"female"
"72","C2519",76,"male"
"73","C2520",68,"male"
"74","C2521",72,"female"
"75","C2522",78,"female"
"76","C2523",41,"female"
"77","C2524",63,"female"
"78","C2525",59,"female"
"79","C2526",55,"female"
"80","C2527",50,"female"
"81","C2528",43,"female"
"82","C2529",62,"female"
"83","C2530",62,"male"
"84","C2531",61,"male"
"85","C2532",71,"male"
"86","C2533",57,"female"
"87","C2534",46,"male"
"88","C2535",68,"male"
"89","C2536",65,"male"
"90","C2537",70,"male"
"91","C2538",55,"male"
"92","C2539",76,"male"
"93","C2540",24,"male"
"94","C2541",48,"female"
"95","C2542",46,"male"
"96","C2543",64,"female"
"97","C2544",42,"female"
"98","C2545",47,"female"
"99","C2546",37,"female"
"100","C2547",53,"male"
"101","C2548",59,"female"
"102","C2549",57,"female"
"103","C2550",52,"male"
"104","C2551",41,"male"
"105","C2552",57,"male"
"106","C2553",51,"female"
"107","C2554",62,"male"
"108","C2555",56,"male"
"109","C2556",68,"female"
"110","C2557",62,"female"
"111","C2558",57,"male"
"112","C2559",43,"female"
"113","C2560",60,"male"
"114","C2561",68,"female"
"115","C2562",52,"female"
"116","C2563",39,"male"
"117","C2564",72,"male"
"118","C2565",50,"male"
"119","C2566",51,"female"
"120","C2567",59,"male"
"121","C2568",59,"male"
"122","C2569",51,"female"
"123","C2570",33,"male"
"124","C2571",68,"male"
"125","C2572",78,"female"
"126","C2573",63,"male"
"127","C2574",27,"male"
"128","C2575",63,"male"
"129","C2576",68,"female"
"130","C2577",61,"male"
"131","C2578",60,"male"
"132","C2579",48,"male"
"133","C2580",62,"female"
"134","C2581",44,"male"
"135","C2582",49,"male"
"136","C2583",49,"male"
"137","C2584",70,"female"
"138","C2585",55,"male"
"139","C2586",74,"female"
"140","C2587",72,"male"
"141","C2588",51,"male"
"142","C2589",60,"male"
"143","C2590",72,"female"
"144","C2591",60,"female"
"145","C2592",37,"male"
"146","C2593",51,"female"
"147","C2594",51,"female"
"148","C2595",60,"male"
"149","C2596",72,"female"
"150","C2597",62,"female"
"151","C2598",60,"male"
"152","C2599",70,"female"
"153","C2600",74,"female"
"154","C2601",39,"male"
"155","C2602",62,"male"
"156","C2603",48,"female"
"157","C2604",35,"female"
"158","C2605",45,"male"
"159","C2606",43,"male"
"160","C2607",68,"male"
